Fp2,14.7,(,10.95,),,13.3,(,11.06,),,6.0,(,8.94,),,10.0,(,17.32,),,1.2,0.298,,0.1,0.814,,0.2,0.639
Fp1,13.3,(,16.50,),,16.0,(,19.49,),,8.0,(,13.04,),,14.0,(,19.49,),,0.2,0.643,,0.3,0.584,,0.0,0.833
F8,17.3,(,26.50,),,12.0,(,21.68,),,14.0,(,16.73,),,18.0,(,30.33,),,0.0,0.904,,0.0,0.952,,0.2,0.674
F7,19.3,(,15.35,),,24.7,(,21.42,),,28.0,(,30.33,),,24.0,(,30.50,),,0.1,0.727,,0.0,0.954,,0.2,0.685
F4,11.3,(,16.60,),,14.0,(,8.94,),,16.0,(,15.17,),,24.0,(,30.50,),,0.7,0.412,,0.4,0.549,,0.1,0.763
F3,25.3,(,21.81,),,23.3,(,24.27,),,18.0,(,19.24,),,22.0,(,26.83,),,0.2,0.682,,0.0,0.924,,0.1,0.776
T4,19.3,(,15.35,),,22.0,(,16.43,),,22.0,(,17.89,),,26.0,(,23.02,),,0.2,0.691,,0.2,0.691,,0.0,0.936
T3,25.3,(,26.94,),,22.0,(,33.47,),,16.0,(,19.49,),,26.0,(,27.02,),,0.0,0.829,,0.1,0.787,,0.3,0.591
C4,17.3,(,12.34,),,17.3,(,13.00,),,8.0,(,17.89,),,20.0,(,28.28,),,0.2,0.700,,0.5,0.490,,0.5,0.490
C3,16.0,(,15.17,),,36.7,(,25.17,),,24.0,(,25.10,),,20.0,(,14.14,),,0.2,0.644,,0.8,0.379,,1.8,0.199
T6,24.7,(,18.35,),,18.7,(,30.97,),,14.0,(,11.40,),,4.0,(,5.48,),,2.2,0.157,,0.9,0.362,,0.1,0.818
T5,4.0,(,5.48,),,2.0,(,4.47,),,4.0,(,5.48,),,2.0,(,4.47,),,0.0,1.000,,0.8,0.384,,0.0,1.000
P4,4.0,(,5.48,),,3.3,(,4.71,),,16.0,(,30.50,),,0.0,(,0.00,),,0.4,0.545,,1.4,0.252,,1.2,0.290
P3,12.0,(,17.89,),,4.7,(,8.69,),,10.0,(,14.14,),,12.0,(,16.43,),,0.2,0.691,,0.2,0.691,,0.5,0.488
O2,18.7,(,21.42,),,17.3,(,12.34,),,18.0,(,26.83,),,18.0,(,29.50,),,0.0,1.000,,0.0,0.950,,0.0,0.950
O1,5.3,(,5.06,),,9.3,(,7.23,),,12.0,(,16.43,),,14.0,(,19.49,),,0.9,0.361,,0.2,0.626,,0.0,0.870
FZ,18.0,(,16.60,),,12.7,(,19.21,),,6.0,(,5.48,),,12.0,(,16.43,),,0.8,0.370,,0.0,0.962,,0.7,0.422
CZ,13.3,(,14.34,),,12.0,(,12.61,),,6.0,(,8.94,),,12.0,(,26.83,),,0.2,0.637,,0.1,0.764,,0.2,0.637
PZ,19.3,(,14.02,),,14.0,(,21.91,),,8.0,(,13.04,),,14.0,(,16.73,),,0.6,0.461,,0.0,0.965,,0.6,0.461
LOG,10.7,(,9.25,),,8.0,(,8.37,),,14.0,(,16.73,),,12.0,(,13.04,),,0.4,0.515,,0.2,0.677,,0.0,0.952
ROG,0.7,(,1.49,),,0.0,(,0.00,),,18.0,(,24.90,),,4.0,(,5.48,),,3.5,0.080,,1.6,0.217,,1.4,0.260
EMG,6.0,(,8.94,),,18.0,(,24.90,),,8.0,(,8.37,),,10.0,(,10.00,),,0.2,0.655,,1.1,0.304,,0.6,0.459
